GO	Ngenes	GOclass	nChild	nParent	MchildGO	Mchild	MparentGO	Mparent	Level	Term
GO:0044085	50	CC	3	1	GO:0022607	0.88	GO:0071840	0.40650406504065	3	cellular component biogenesis
GO:0044237	2049	CC	13	2	GO:0044260	0.663250366032211	GO:0009987	0.686892390211197	3	cellular metabolic process
GO:0044238	2458	CC	7	1	GO:0019538	0.510170870626526	GO:0008152	0.71391228579727	3	primary metabolic process
GO:0044248	107	CC	6	2	GO:0044265	0.719626168224299	GO:0009056	1	4	cellular catabolic process
GO:0044249	681	CC	9	2	GO:0034645	0.838472834067548	GO:0009058	1	4	cellular biosynthetic process
GO:0044255	10	CC	3	3	GO:0006643	1	GO:0006629	1	4	cellular lipid metabolic process
GO:0044257	77	CC	1	3	GO:0051603	1	GO:0030163	1	6	cellular protein catabolic process
GO:0044260	1359	CC	6	2	GO:0044267	0.669610007358352	GO:0043170	0.798003523194363	4	cellular macromolecule metabolic process
GO:0044265	77	CC	2	3	GO:0044257	1	GO:0009057	1	5	cellular macromolecule catabolic process
GO:0044267	910	CC	4	2	GO:0006412	0.317582417582418	GO:0019538	0.725677830940989	5	cellular protein metabolic process
GO:0044270	30	CC	3	2	GO:0034655	0.966666666666667	GO:0044248	0.280373831775701	5	cellular nitrogen compound catabolic process
GO:0044271	324	CC	5	2	GO:0034654	0.95679012345679	GO:0044249	0.475770925110132	5	cellular nitrogen compound biosynthetic process
GO:0044281	273	CC	3	1	GO:0006082	0.483516483516484	GO:0044710	0.321933962264151	4	small molecule metabolic process
GO:0044699	2148	CC	5	1	GO:0044763	0.629888268156425	GO:0008150	0.422169811320755	2	single-organism process
GO:0044700	463	CC	2	2	GO:0007165	1	GO:0023052	1	3	single organism signaling
GO:0044707	199	CC	1	2	GO:0003008	1	GO:0032501	1	3	single-multicellular organism process
GO:0044710	848	CC	8	2	GO:0055114	0.607311320754717	GO:0044699	0.394785847299814	3	single-organism metabolic process
GO:0044711	106	CC	3	2	GO:1901293	0.905660377358491	GO:0009058	0.155653450807636	4	single-organism biosynthetic process
GO:0044712	29	CC	2	2	GO:1901292	1	GO:0009056	0.271028037383178	4	single-organism catabolic process
GO:0044728	4	CC	1	1	GO:0006306	1	GO:0006304	1	7	DNA methylation or demethylation
GO:0044763	1353	CC	11	2	GO:0007154	0.34220251293422	GO:0044699	0.629888268156425	3	single-organism cellular process
GO:0044765	610	CC	5	2	GO:0055085	0.739344262295082	GO:0006810	0.61491935483871	3	single-organism transport
GO:0044848	14	CC	1	1	GO:0022403	1	GO:0008150	0.00275157232704402	2	biological phase
GO:0045017	10	CC	1	3	GO:0046474	1	GO:0008610	1	5	glycerolipid biosynthetic process
GO:0045184	183	CC	1	2	GO:0015031	1	GO:0008104	1	4	establishment of protein localization
GO:0045333	8	CC	1	1	GO:0009060	1	GO:0015980	1	5	cellular respiration
GO:0046034	68	CC	1	4	GO:0006754	1	GO:0009167	0.883116883116883	8	ATP metabolic process
GO:0046036	6	CC	1	3	GO:0006241	1	GO:0009208	1	8	CTP metabolic process
GO:0046039	35	CC	2	3	GO:0006184	0.828571428571429	GO:1901068	1	8	GTP metabolic process
GO:0046051	6	CC	1	3	GO:0006228	1	GO:0009208	1	8	UTP metabolic process
GO:0046068	10	CC	1	2	GO:0006182	1	GO:0009187	1	8	cGMP metabolic process
GO:0046128	106	CC	5	2	GO:0046129	0.726415094339623	GO:0009119	1	7	purine ribonucleoside metabolic process
GO:0046129	77	CC	3	3	GO:0006754	0.883116883116883	GO:0042451	1	8	purine ribonucleoside biosynthetic process
GO:0046130	29	CC	1	3	GO:1901069	1	GO:0006152	1	8	purine ribonucleoside catabolic process
GO:0046131	6	CC	3	2	GO:0046036	1	GO:0006213	1	7	pyrimidine ribonucleoside metabolic process
GO:0046132	6	CC	2	3	GO:0006228	1	GO:0046131	1	8	pyrimidine ribonucleoside biosynthetic process
GO:0046134	6	CC	1	3	GO:0046132	1	GO:0006213	1	7	pyrimidine nucleoside biosynthetic process
GO:0046146	4	CC	1	2	GO:0006729	1	GO:0042558	1	6	tetrahydrobiopterin metabolic process
GO:0046390	87	CC	1	3	GO:0009260	1	GO:1901137	0.896907216494845	6	ribose phosphate biosynthetic process
GO:0046434	29	CC	1	2	GO:1901292	1	GO:1901575	0.271028037383178	5	organophosphate catabolic process
GO:0046467	10	CC	1	3	GO:0009247	1	GO:0006643	1	5	membrane lipid biosynthetic process
GO:0046474	10	CC	1	3	GO:0006661	1	GO:0006650	1	6	glycerophospholipid biosynthetic process
GO:0046483	866	CC	7	1	GO:0006139	0.982678983833718	GO:0044237	0.422645192776964	4	heterocycle metabolic process
GO:0046486	10	CC	2	1	GO:0006650	1	GO:0044255	1	5	glycerolipid metabolic process
GO:0046488	10	CC	2	1	GO:0006505	1	GO:0006650	1	7	phosphatidylinositol metabolic process
GO:0046578	29	CC	2	1	GO:0032318	1	GO:0051056	1	7	regulation of Ras protein signal transduction
GO:0046700	30	CC	3	2	GO:0034655	0.966666666666667	GO:0044248	0.280373831775701	5	heterocycle catabolic process
GO:0046907	126	CC	3	2	GO:0006886	0.96031746031746	GO:0051649	1	5	intracellular transport
GO:0050801	7	CC	2	1	GO:0006873	1	GO:0048878	1	6	ion homeostasis
GO:0046916	7	CC	1	2	GO:0006879	1	GO:0006875	1	9	cellular transition metal ion homeostasis
GO:0046942	10	CC	1	2	GO:0006865	1	GO:0015711	1	5	carboxylic acid transport
GO:0048193	9	CC	1	2	GO:0006888	1	GO:1902582	0.346153846153846	5	Golgi vesicle transport
GO:0048583	29	CC	1	2	GO:0009966	1	GO:0050789	0.0406732117812062	3	regulation of response to stimulus
GO:0048878	7	CC	2	1	GO:0050801	1	GO:0042592	0.184210526315789	5	chemical homeostasis
GO:0050789	713	CC	4	2	GO:0050794	0.994389901823282	GO:0065007	0.990277777777778	2	regulation of biological process
GO:0050790	29	CC	1	2	GO:0051336	1	GO:0065009	1	4	regulation of catalytic activity
GO:0050794	709	CC	4	2	GO:0007165	0.653032440056417	GO:0050789	0.994389901823282	3	regulation of cellular process
GO:0050896	600	CC	4	1	GO:0051716	0.895	GO:0008150	0.117924528301887	2	response to stimulus
GO:0051056	29	CC	1	2	GO:0046578	1	GO:1902531	1	6	regulation of small GTPase mediated signal transduction
GO:0051171	230	CC	1	2	GO:0019219	1	GO:0019222	0.982905982905983	4	regulation of nitrogen compound metabolic process
GO:0051174	29	CC	1	2	GO:0019220	1	GO:0006793	0.167630057803468	5	regulation of phosphorus metabolic process
GO:0051179	992	CC	3	1	GO:0051234	1	GO:0008150	0.19496855345912	2	localization
GO:0051186	8	CC	4	1	GO:0006732	0.875	GO:0044237	0.00390434358223524	4	cofactor metabolic process
GO:0051187	1	CC	1	2	GO:0006787	1	GO:0051186	0.125	5	cofactor catabolic process
GO:0051188	7	CC	1	2	GO:0009108	1	GO:0051186	0.875	5	cofactor biosynthetic process
GO:0051234	992	CC	3	1	GO:0006810	1	GO:0051179	1	3	establishment of localization
GO:0051252	201	CC	1	3	GO:2001141	1	GO:0060255	0.980487804878049	5	regulation of RNA metabolic process
GO:0051258	44	CC	0	1	NA	0	GO:0043623	1	7	protein polymerization
GO:0051336	29	CC	1	1	GO:0043087	1	GO:0050790	1	5	regulation of hydrolase activity
GO:0051641	126	CC	2	1	GO:0051649	1	GO:0051179	0.127016129032258	3	cellular localization
GO:0051649	126	CC	1	2	GO:0046907	1	GO:0051641	1	4	establishment of localization in cell
GO:0051716	537	CC	2	2	GO:0007165	0.86219739292365	GO:0050896	0.895	3	cellular response to stimulus
GO:0052652	10	CC	1	2	GO:0006182	1	GO:0009190	1	8	cyclic purine nucleotide metabolic process
GO:0055065	7	CC	2	1	GO:0006875	1	GO:0055080	1	8	metal ion homeostasis
GO:0055072	7	CC	1	1	GO:0006879	1	GO:0055076	1	10	iron ion homeostasis
GO:0055076	7	CC	2	1	GO:0046916	1	GO:0055065	1	9	transition metal ion homeostasis
GO:0055080	7	CC	2	1	GO:0030003	1	GO:0050801	1	7	cation homeostasis
GO:0055082	7	CC	1	2	GO:0006873	1	GO:0048878	1	5	cellular chemical homeostasis
GO:0055085	451	CC	0	2	NA	0	GO:0044765	0.739344262295082	4	transmembrane transport
GO:0055086	127	CC	2	3	GO:0006753	1	GO:0044281	0.465201465201465	4	nucleobase-containing small molecule metabolic process
GO:0060255	205	CC	3	2	GO:0010468	1	GO:0019222	0.876068376068376	4	regulation of macromolecule metabolic process
GO:0065003	44	CC	2	2	GO:0006461	1	GO:0022607	1	5	macromolecular complex assembly
GO:0065007	720	CC	3	1	GO:0050789	0.990277777777778	GO:0008150	0.141509433962264	2	biological regulation
GO:0065008	38	CC	1	1	GO:0042592	1	GO:0065007	0.0527777777777778	3	regulation of biological quality
GO:0065009	29	CC	1	1	GO:0050790	1	GO:0065007	0.0402777777777778	3	regulation of molecular function
GO:0070271	44	CC	1	1	GO:0006461	1	GO:0044085	0.88	4	protein complex biogenesis
GO:0070727	121	CC	1	2	GO:0034613	1	GO:0051641	0.96031746031746	4	cellular macromolecule localization
GO:0071702	193	CC	3	1	GO:0015031	0.948186528497409	GO:0006810	0.194556451612903	5	organic substance transport
GO:0071704	2480	CC	12	1	GO:0043170	0.686693548387097	GO:0008152	0.720302062155097	3	organic substance metabolic process
GO:0071705	10	CC	1	1	GO:0006865	1	GO:0006810	0.0100806451612903	5	nitrogen compound transport
GO:0071822	44	CC	1	1	GO:0006461	1	GO:0043933	1	5	protein complex subunit organization
GO:0071840	123	CC	2	1	GO:0016043	0.951219512195122	GO:0008150	0.0241745283018868	2	cellular component organization or biogenesis
GO:0072521	116	CC	5	5	GO:0006163	1	GO:1901564	0.44106463878327	5	purine-containing compound metabolic process
GO:0072522	87	CC	3	6	GO:0006164	1	GO:1901566	0.861386138613861	6	purine-containing compound biosynthetic process
GO:0072523	29	CC	2	6	GO:0006152	1	GO:0019439	0.966666666666667	6	purine-containing compound catabolic process
GO:0072527	6	CC	3	4	GO:0006213	1	GO:1901564	0.0228136882129278	5	pyrimidine-containing compound metabolic process
GO:0072528	6	CC	2	5	GO:0006221	1	GO:0072527	1	6	pyrimidine-containing compound biosynthetic process
GO:0080090	230	CC	1	2	GO:0019219	1	GO:0019222	0.982905982905983	4	regulation of primary metabolic process
GO:0090304	507	CC	2	2	GO:0016070	0.749506903353057	GO:0006139	0.595769682726204	5	nucleic acid metabolic process
GO:0090407	106	CC	3	2	GO:1901293	0.905660377358491	GO:0019637	0.773722627737226	5	organophosphate biosynthetic process
GO:0098609	40	CC	1	1	GO:0007156	1	GO:0007155	0.416666666666667	4	cell-cell adhesion
GO:1900542	29	CC	1	2	GO:0033121	1	GO:0006140	1	7	regulation of purine nucleotide metabolic process
GO:1901068	35	CC	3	1	GO:0046039	1	GO:0046128	0.330188679245283	8	guanosine-containing compound metabolic process
GO:1901069	29	CC	1	2	GO:0006184	1	GO:0046130	1	9	guanosine-containing compound catabolic process
GO:1901070	6	CC	1	2	GO:0006183	1	GO:1901068	0.171428571428571	9	guanosine-containing compound biosynthetic process
GO:1901135	128	CC	6	1	GO:0019693	0.90625	GO:0071704	0.0516129032258065	4	carbohydrate derivative metabolic process
GO:1901136	29	CC	2	2	GO:0009164	1	GO:1901575	0.271028037383178	5	carbohydrate derivative catabolic process
GO:1901137	97	CC	3	2	GO:0046390	0.896907216494845	GO:1901135	0.7578125	5	carbohydrate derivative biosynthetic process
GO:1901292	29	CC	2	4	GO:0009143	1	GO:0034655	1	5	nucleoside phosphate catabolic process
GO:1901293	96	CC	4	4	GO:0009165	0.90625	GO:0044711	0.905660377358491	5	nucleoside phosphate biosynthetic process
GO:1901360	875	CC	8	1	GO:0006139	0.972571428571429	GO:0071704	0.352822580645161	4	organic cyclic compound metabolic process
GO:1901361	30	CC	3	2	GO:0034655	0.966666666666667	GO:1901575	0.280373831775701	5	organic cyclic compound catabolic process
GO:1901362	324	CC	5	2	GO:0034654	0.95679012345679	GO:1901576	0.475770925110132	5	organic cyclic compound biosynthetic process
GO:1901564	263	CC	8	2	GO:0006520	0.501901140684411	GO:0006807	0.278012684989429	4	organonitrogen compound metabolic process
GO:1901565	30	CC	3	2	GO:0009164	0.966666666666667	GO:1901575	0.280373831775701	5	organonitrogen compound catabolic process
GO:1901566	101	CC	5	2	GO:0072522	0.861386138613861	GO:1901564	0.384030418250951	5	organonitrogen compound biosynthetic process
GO:1901575	107	CC	6	2	GO:0009057	0.719626168224299	GO:0009056	1	4	organic substance catabolic process
GO:1901576	681	CC	7	2	GO:0009059	0.838472834067548	GO:0009058	1	4	organic substance biosynthetic process
GO:1901657	106	CC	3	2	GO:0009116	1	GO:0044710	0.125	4	glycosyl compound metabolic process
GO:1901658	29	CC	1	3	GO:0009164	1	GO:0044712	1	5	glycosyl compound catabolic process
GO:1901659	77	CC	1	3	GO:0009163	1	GO:0044711	0.726415094339623	5	glycosyl compound biosynthetic process
GO:1902531	29	CC	1	2	GO:0051056	1	GO:0009966	1	5	regulation of intracellular signal transduction
GO:1902582	26	CC	2	2	GO:0006605	0.653846153846154	GO:0046907	0.206349206349206	4	single-organism intracellular transport
GO:2000112	201	CC	1	3	GO:0006355	1	GO:0010556	1	6	regulation of cellular macromolecule biosynthetic process
GO:2001141	201	CC	1	4	GO:0006355	1	GO:0010556	1	6	regulation of RNA biosynthetic process
GO:0051082	61	CC	0	1	NA	0	GO:0005515	0.0305917753259779	4	unfolded protein binding
GO:0015036	20	CC	1	1	GO:0015035	1	GO:0016667	1	5	disulfide oxidoreductase activity
GO:0009055	174	CC	0	1	NA	0	GO:0003674	0.0231845436375749	2	electron carrier activity
GO:0000049	7	CC	0	1	NA	0	GO:0003723	0.0382513661202186	6	tRNA binding
GO:0000166	1062	CC	3	2	GO:0032553	0.951035781544256	GO:0036094	0.947368421052632	4	nucleotide binding
GO:0005515	1994	CC	5	1	GO:0051082	0.0305917753259779	GO:0005488	0.399599198396794	3	protein binding
GO:0003924	100	CC	0	1	NA	0	GO:0017111	0.252525252525253	8	GTPase activity
GO:0001071	132	CC	1	1	GO:0003700	1	GO:0003674	0.0175882744836775	2	nucleic acid binding transcription factor activity
GO:0004197	14	CC	1	2	GO:0004198	1	GO:0008234	0.291666666666667	7	cysteine-type endopeptidase activity
GO:0005509	188	CC	0	1	NA	0	GO:0046872	0.158649789029536	6	calcium ion binding
GO:0001882	1000	CC	2	4	GO:0001883	1	GO:0097367	0.99009900990099	4	nucleoside binding
GO:0001883	1000	CC	1	1	GO:0032550	1	GO:0001882	1	5	purine nucleoside binding
GO:0003674	7505	CC	8	0	GO:0005488	0.664890073284477	NA	NA	1	molecular_function
GO:0003676	1004	CC	2	2	GO:0003677	0.466135458167331	GO:0097159	0.474032105760151	4	nucleic acid binding
GO:0003677	468	CC	2	1	GO:0043565	0.200854700854701	GO:0003676	0.466135458167331	5	DNA binding
GO:0003678	13	CC	1	1	GO:0004003	1	GO:0004386	0.180555555555556	9	DNA helicase activity
GO:0003682	15	CC	0	1	NA	0	GO:0005488	0.0030060120240481	3	chromatin binding
GO:0003689	5	CC	0	2	NA	0	GO:0033170	1	6	DNA clamp loader activity
GO:0003700	132	CC	0	1	NA	0	GO:0001071	1	3	sequence-specific DNA binding transcription factor activity
GO:0003723	183	CC	2	1	GO:0008135	0.202185792349727	GO:0003676	0.182270916334661	5	RNA binding
GO:0003735	176	CC	0	1	NA	0	GO:0005198	0.522255192878338	3	structural constituent of ribosome
GO:0003743	22	CC	0	1	NA	0	GO:0008135	0.594594594594595	7	translation initiation factor activity
GO:0003746	15	CC	0	1	NA	0	GO:0008135	0.405405405405405	7	translation elongation factor activity
GO:0042623	173	CC	3	1	GO:0043492	0.554913294797688	GO:0016887	0.726890756302521	9	ATPase activity, coupled
GO:0003774	65	CC	1	1	GO:0003777	0.569230769230769	GO:0017111	0.164141414141414	8	motor activity
GO:0003777	37	CC	0	1	NA	0	GO:0003774	0.569230769230769	9	microtubule motor activity
GO:0003779	1	CC	1	1	GO:0051015	1	GO:0008092	1	5	actin binding
GO:0030674	5	CC	0	2	NA	0	GO:0060090	1	4	protein binding, bridging
GO:0051015	1	CC	0	2	NA	0	GO:0003779	1	5	actin filament binding
GO:0004252	146	CC	0	2	NA	0	GO:0008236	0.874251497005988	6	serine-type endopeptidase activity
GO:0003824	3420	CC	7	1	GO:0016787	0.414912280701754	GO:0003674	0.455696202531646	2	catalytic activity
GO:0003874	2	CC	0	1	NA	0	GO:0016838	1	6	6-pyruvoyltetrahydropterin synthase activity
GO:0003887	20	CC	0	1	NA	0	GO:0034061	1	7	DNA-directed DNA polymerase activity
GO:0003896	3	CC	0	1	NA	0	GO:0003899	1	8	DNA primase activity
GO:0003899	3	CC	1	1	GO:0003896	1	GO:0034062	1	7	DNA-directed RNA polymerase activity
GO:0004003	13	CC	0	3	NA	0	GO:0003678	1	10	ATP-dependent DNA helicase activity
GO:0046873	21	CC	1	1	GO:0015081	1	GO:0022890	1	8	metal ion transmembrane transporter activity
GO:0042626	96	CC	1	3	GO:0042625	0.3125	GO:0015405	1	5	ATPase activity, coupled to transmembrane movement of substances
GO:0017111	396	CC	4	1	GO:0016887	0.601010101010101	GO:0016462	0.818181818181818	7	nucleoside-triphosphatase activity
GO:0004112	11	CC	1	1	GO:0004114	1	GO:0008081	0.392857142857143	7	cyclic-nucleotide phosphodiesterase activity
GO:0004114	11	CC	0	1	NA	0	GO:0004112	1	8	3',5'-cyclic-nucleotide phosphodiesterase activity
GO:0004175	266	CC	4	1	GO:0004252	0.548872180451128	GO:0070011	0.71505376344086	6	endopeptidase activity
GO:0004198	14	CC	0	1	NA	0	GO:0004197	1	8	calcium-dependent cysteine-type endopeptidase activity
GO:0008234	48	CC	1	1	GO:0004197	0.291666666666667	GO:0070011	0.129032258064516	6	cysteine-type peptidase activity
GO:0004221	31	CC	0	2	NA	0	GO:0016790	1	5	ubiquitin thiolesterase activity
GO:0004222	62	CC	0	2	NA	0	GO:0008237	0.516666666666667	7	metalloendopeptidase activity
GO:0008237	120	CC	1	1	GO:0004222	0.516666666666667	GO:0070011	0.32258064516129	6	metallopeptidase activity
GO:0008236	167	CC	1	2	GO:0004252	0.874251497005988	GO:0017171	1	5	serine-type peptidase activity
GO:0004298	22	CC	0	2	NA	0	GO:0070003	1	7	threonine-type endopeptidase activity
GO:0008233	372	CC	1	1	GO:0070011	1	GO:0016787	0.26215644820296	4	peptidase activity
GO:0004334	1	CC	0	1	NA	0	GO:0016823	1	6	fumarylacetoacetase activity
GO:0004383	10	CC	0	2	NA	0	GO:0009975	1	4	guanylate cyclase activity
GO:0004386	72	CC	2	1	GO:0070035	1	GO:0017111	0.181818181818182	8	helicase activity
GO:0004392	1	CC	0	1	NA	0	GO:0016705	0.25	5	heme oxygenase (decyclizing) activity
GO:0004418	1	CC	0	1	NA	0	GO:0016765	1	5	hydroxymethylbilane synthase activity
GO:0004497	3	CC	1	1	GO:0016709	1	GO:0016491	0.00455927051671732	4	monooxygenase activity
GO:0004499	3	CC	0	1	NA	0	GO:0016709	1	6	N,N-dimethylaniline monooxygenase activity
GO:0004518	65	CC	1	1	GO:0004527	0.415384615384615	GO:0016788	0.408805031446541	5	nuclease activity
GO:0004527	27	CC	0	1	NA	0	GO:0004518	0.415384615384615	6	exonuclease activity
GO:0004550	6	CC	0	2	NA	0	GO:0016776	1	6	nucleoside diphosphate kinase activity
GO:0004553	148	CC	0	1	NA	0	GO:0016798	1	5	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0004594	2	CC	0	2	NA	0	GO:0016773	0.00626959247648903	6	pantothenate kinase activity
GO:0004672	233	CC	1	2	GO:0004674	1	GO:0016773	0.730407523510972	6	protein kinase activity
GO:0004674	233	CC	0	1	NA	0	GO:0004672	1	7	protein serine/threonine kinase activity
GO:0004721	36	CC	2	1	GO:0004725	0.666666666666667	GO:0016791	1	7	phosphoprotein phosphatase activity
GO:0004725	24	CC	0	1	NA	0	GO:0004721	0.666666666666667	8	protein tyrosine phosphatase activity
GO:0004809	2	CC	0	2	NA	0	GO:0008170	1	7	tRNA (guanine-N2-)-methyltransferase activity
GO:0004812	55	CC	1	1	GO:0004824	0.0363636363636364	GO:0016876	1	6	aminoacyl-tRNA ligase activity
GO:0004824	2	CC	0	1	NA	0	GO:0004812	0.0363636363636364	7	lysine-tRNA ligase activity
GO:0004871	303	CC	0	1	NA	0	GO:0060089	1	3	signal transducer activity
GO:0005083	29	CC	1	1	GO:0005099	1	GO:0030695	1	5	small GTPase regulator activity
GO:0005096	29	CC	1	2	GO:0005099	1	GO:0008047	1	4	GTPase activator activity
GO:0005097	29	CC	0	1	NA	0	GO:0005099	1	6	Rab GTPase activator activity
GO:0005099	29	CC	1	2	GO:0005097	1	GO:0005083	1	5	Ras GTPase activator activity
GO:0005198	337	CC	1	1	GO:0003735	0.522255192878338	GO:0003674	0.0449033977348434	2	structural molecule activity
GO:0005215	631	CC	3	1	GO:0022857	0.386687797147385	GO:0003674	0.0840772818121252	2	transporter activity
GO:0005216	122	CC	2	2	GO:0005244	0.0163934426229508	GO:0022838	1	6	ion channel activity
GO:0005244	2	CC	1	2	GO:0022843	1	GO:0022832	1	7	voltage-gated ion channel activity
GO:0005248	2	CC	0	2	NA	0	GO:0005272	1	9	voltage-gated sodium channel activity
GO:0005261	2	CC	2	2	GO:0005272	1	GO:0008324	0.0952380952380952	7	cation channel activity
GO:0005272	2	CC	1	2	GO:0005248	1	GO:0005261	1	8	sodium channel activity
GO:0015171	10	CC	0	1	NA	0	GO:0046943	1	7	amino acid transmembrane transporter activity
GO:0022857	244	CC	4	1	GO:0022891	0.741803278688525	GO:0005215	0.386687797147385	3	transmembrane transporter activity
GO:0005326	19	CC	1	1	GO:0005328	1	GO:0005215	0.0301109350237718	3	neurotransmitter transporter activity
GO:0005328	19	CC	0	2	NA	0	GO:0005326	1	4	neurotransmitter:sodium symporter activity
GO:0005342	10	CC	1	1	GO:0046943	1	GO:0022891	0.0552486187845304	5	organic acid transmembrane transporter activity
GO:0015291	19	CC	1	1	GO:0015293	1	GO:0022804	0.165217391304348	5	secondary active transmembrane transporter activity
GO:0005488	4990	CC	11	1	GO:0043167	0.441482965931864	GO:0003674	0.664890073284477	2	binding
GO:0046872	1185	CC	2	1	GO:0046914	0.781434599156118	GO:0043169	1	5	metal ion binding
GO:0005506	7	CC	1	1	GO:0008199	1	GO:0046914	0.00755939524838013	7	iron ion binding
GO:0005524	806	CC	0	3	NA	0	GO:0032559	1	6	ATP binding
GO:0005525	196	CC	0	3	NA	0	GO:0032561	1	6	GTP binding
GO:0016491	658	CC	4	1	GO:0016614	0.088145896656535	GO:0003824	0.192397660818713	3	oxidoreductase activity
GO:0008289	58	CC	0	1	NA	0	GO:0005488	0.011623246492986	3	lipid binding
GO:0008026	72	CC	1	2	GO:0004003	0.180555555555556	GO:0070035	1	10	ATP-dependent helicase activity
GO:0008047	29	CC	1	1	GO:0005096	1	GO:0030234	1	3	enzyme activator activity
GO:0008081	28	CC	1	1	GO:0004112	0.392857142857143	GO:0042578	0.4375	6	phosphoric diester hydrolase activity
GO:0008092	1	CC	1	1	GO:0003779	1	GO:0005515	0.000501504513540622	4	cytoskeletal protein binding
GO:0008094	18	CC	2	1	GO:0004003	0.722222222222222	GO:0042623	0.104046242774566	10	DNA-dependent ATPase activity
GO:0008135	37	CC	2	1	GO:0003743	0.594594594594595	GO:0003723	0.202185792349727	6	translation factor activity, nucleic acid binding
GO:0008138	13	CC	0	1	NA	0	GO:0004721	0.361111111111111	8	protein tyrosine/serine/threonine phosphatase activity
GO:0008168	87	CC	3	1	GO:0008170	0.0229885057471264	GO:0016741	1	5	methyltransferase activity
GO:0008170	2	CC	1	1	GO:0004809	1	GO:0008168	0.0229885057471264	6	N-methyltransferase activity
GO:0008173	2	CC	1	1	GO:0008175	1	GO:0008168	0.0229885057471264	6	RNA methyltransferase activity
GO:0008175	2	CC	1	1	GO:0016423	1	GO:0008173	1	7	tRNA methyltransferase activity
GO:0008194	4	CC	1	1	GO:0015020	1	GO:0016757	0.024390243902439	5	UDP-glycosyltransferase activity
GO:0008199	7	CC	0	1	NA	0	GO:0005506	1	8	ferric iron binding
GO:0008238	6	CC	1	1	GO:0008242	1	GO:0070011	0.0161290322580645	6	exopeptidase activity
GO:0008242	6	CC	0	1	NA	0	GO:0008238	1	7	omega peptidase activity
GO:0008270	692	CC	0	1	NA	0	GO:0046914	0.747300215982721	7	zinc ion binding
GO:0008324	21	CC	3	1	GO:0022890	1	GO:0015075	0.116022099447514	6	cation transmembrane transporter activity
GO:0008446	2	CC	0	1	NA	0	GO:0016836	1	6	GDP-mannose 4,6-dehydratase activity
GO:0008509	10	CC	1	1	GO:0008514	1	GO:0015075	0.0552486187845304	6	anion transmembrane transporter activity
GO:0008514	10	CC	1	1	GO:0046943	1	GO:0008509	1	7	organic anion transmembrane transporter activity
GO:0015662	30	CC	0	1	NA	0	GO:0042625	1	7	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
GO:0016887	238	CC	1	1	GO:0042623	0.726890756302521	GO:0017111	0.601010101010101	8	ATPase activity
GO:0008757	2	CC	1	1	GO:0016423	1	GO:0008168	0.0229885057471264	6	S-adenosylmethionine-dependent methyltransferase activity
GO:0070011	372	CC	6	1	GO:0004175	0.71505376344086	GO:0008233	1	5	peptidase activity, acting on L-amino acid peptides
GO:0009975	10	CC	1	1	GO:0004383	1	GO:0003824	0.00292397660818713	3	cyclase activity
GO:0010181	10	CC	0	3	NA	0	GO:0050662	0.135135135135135	5	FMN binding
GO:0015018	4	CC	0	1	NA	0	GO:0015020	1	7	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
GO:0015020	4	CC	1	2	GO:0015018	1	GO:0008194	1	6	glucuronosyltransferase activity
GO:0015035	20	CC	0	1	NA	0	GO:0015036	1	6	protein disulfide oxidoreductase activity
GO:0015075	181	CC	4	1	GO:0005216	0.674033149171271	GO:0022891	1	5	ion transmembrane transporter activity
GO:0015077	21	CC	1	1	GO:0015081	1	GO:0022890	1	8	monovalent inorganic cation transmembrane transporter activity
GO:0015081	21	CC	2	2	GO:0015370	0.904761904761905	GO:0015077	1	9	sodium ion transmembrane transporter activity
GO:0015267	122	CC	2	1	GO:0022838	1	GO:0022803	1	5	channel activity
GO:0015293	19	CC	1	1	GO:0015294	1	GO:0015291	1	6	symporter activity
GO:0015294	19	CC	1	2	GO:0015370	1	GO:0015293	1	7	solute:cation symporter activity
GO:0015370	19	CC	1	2	GO:0005328	1	GO:0015294	1	8	solute:sodium symporter activity
GO:0015399	96	CC	1	1	GO:0015405	1	GO:0022804	0.834782608695652	5	primary active transmembrane transporter activity
GO:0015405	96	CC	1	1	GO:0042626	1	GO:0015399	1	6	P-P-bond-hydrolysis-driven transmembrane transporter activity
GO:0016301	330	CC	3	1	GO:0004672	0.706060606060606	GO:0016772	0.774647887323944	5	kinase activity
GO:0016423	2	CC	1	2	GO:0004809	1	GO:0008175	1	7	tRNA (guanine) methyltransferase activity
GO:0016462	484	CC	1	1	GO:0017111	0.818181818181818	GO:0016818	0.991803278688525	6	pyrophosphatase activity
GO:0016614	58	CC	0	1	NA	0	GO:0016491	0.088145896656535	4	oxidoreductase activity, acting on CH-OH group of donors
GO:0016667	20	CC	1	1	GO:0015036	1	GO:0016491	0.0303951367781155	4	oxidoreductase activity, acting on a sulfur group of donors
GO:0016705	4	CC	2	1	GO:0016709	0.75	GO:0016491	0.0060790273556231	4	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0016709	3	CC	1	2	GO:0004499	1	GO:0004497	1	5	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
