Ontology-ID	Ontology-term	Ontology-name	Ontology-type	elite_term_in	number_changed.G1_2-VS-S1_2.down-GO_z-score_elite	number_measured.G1_2-VS-S1_2.down-GO_z-score_elite	 z_score.G1_2-VS-S1_2.down-GO_z-score_elite	permuteP.G1_2-VS-S1_2.down-GO_z-score_elite	number_changed.G1_2-VS-S1_2.up-GO_z-score_elite	number_measured.G1_2-VS-S1_2.up-GO_z-score_elite	 z_score.G1_2-VS-S1_2.up-GO_z-score_elite	permuteP.G1_2-VS-S1_2.up-GO_z-score_elite	number_changed.G3-VS-S3.down-GO_z-score_elite	number_measured.G3-VS-S3.down-GO_z-score_elite	 z_score.G3-VS-S3.down-GO_z-score_elite	permuteP.G3-VS-S3.down-GO_z-score_elite	number_changed.G3-VS-S3.up-GO_z-score_elite	number_measured.G3-VS-S3.up-GO_z-score_elite	 z_score.G3-VS-S3.up-GO_z-score_elite	permuteP.G3-VS-S3.up-GO_z-score_elite	number_changed.G4-VS-S4.down-GO_z-score_elite	number_measured.G4-VS-S4.down-GO_z-score_elite	 z_score.G4-VS-S4.down-GO_z-score_elite	permuteP.G4-VS-S4.down-GO_z-score_elite	number_changed.G4-VS-S4.up-GO_z-score_elite	number_measured.G4-VS-S4.up-GO_z-score_elite	 z_score.G4-VS-S4.up-GO_z-score_elite	permuteP.G4-VS-S4.up-GO_z-score_elite	number_changed.G5-VS-S5.down-GO_z-score_elite	number_measured.G5-VS-S5.down-GO_z-score_elite	 z_score.G5-VS-S5.down-GO_z-score_elite	permuteP.G5-VS-S5.down-GO_z-score_elite	number_changed.G5-VS-S5.up-GO_z-score_elite	number_measured.G5-VS-S5.up-GO_z-score_elite	 z_score.G5-VS-S5.up-GO_z-score_elite	permuteP.G5-VS-S5.up-GO_z-score_elite	number_changed.Gadult-VS-Sadult.down-GO_z-score_elite	number_measured.Gadult-VS-Sadult.down-GO_z-score_elite	 z_score.Gadult-VS-Sadult.down-GO_z-score_elite	permuteP.Gadult-VS-Sadult.down-GO_z-score_elite	number_changed.Gadult-VS-Sadult.up-GO_z-score_elite	number_measured.Gadult-VS-Sadult.up-GO_z-score_elite	 z_score.Gadult-VS-Sadult.up-GO_z-score_elite	permuteP.Gadult-VS-Sadult.up-GO_z-score_elite	number_changed.Gegg-VS-Segg.down-GO_z-score_elite	number_measured.Gegg-VS-Segg.down-GO_z-score_elite	 z_score.Gegg-VS-Segg.down-GO_z-score_elite	permuteP.Gegg-VS-Segg.down-GO_z-score_elite	number_changed.Gegg-VS-Segg.up-GO_z-score_elite	number_measured.Gegg-VS-Segg.up-GO_z-score_elite	 z_score.Gegg-VS-Segg.up-GO_z-score_elite	permuteP.Gegg-VS-Segg.up-GO_z-score_elite
GO:0008234	cysteine-type peptidase activity	GeneOntology	molecular_function	G1_2-VS-S1_2.up-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite	15	48	6.65689915788	0.0	0	48	-0.808944343191	0.6385	3	48	4.44491404875	0.006	0	48	-0.592507454567	1.0	0	48	-0.790607764447	0.672	0	48	-0.808944343191	0.6655	0	48	-1.29344315241	0.267	1	48	-0.705418711493	0.599	3	48	0.309575429244	0.938	2	48	-0.760049952594	0.5155	2	48	2.35598627025	0.0735	1	48	1.04471730882	0.3125
GO:0005509	calcium ion binding	GeneOntology	molecular_function	G5-VS-S5.up-GO_z-score_elite	13	188	-0.00536456888447	1.0	1	188	-0.972443788014	0.301	2	188	0.512653388732	0.416	0	188	-1.18250161912	0.4085	4	188	1.04817778972	0.2105	2	188	-0.330430258697	0.7005	5	188	-0.531961269007	0.686	19	188	4.20521066907	0.0	14	188	1.36149646385	0.1975	20	188	2.01210949152	0.051	1	188	-0.567392086391	0.5615	2	188	0.467197370599	0.4235
GO:0046873	metal ion transmembrane transporter activity	GeneOntology	molecular_function	G5-VS-S5.up-GO_z-score_elite	0	19	-1.19021060573	0.3915	0	19	-0.5080733791	1.0	0	19	-0.378232429118	1.0	0	19	-0.372135941264	1.0	0	19	-0.496556730764	1.0	0	19	-0.5080733791	1.0	0	19	-0.812372369806	0.6725	3	19	2.57464006677	0.0315	0	19	-1.02772747198	0.6175	1	19	-0.289198303109	0.731	0	19	-0.421235139559	1.0	0	19	-0.384235038611	1.0
GO:0016798	hydrolase activity, acting on glycosyl bonds	GeneOntology	molecular_function	G1_2-VS-S1_2.down-GO_z-score_elite|G3-VS-S3.up-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite	59	148	15.923937034	0.0	22	148	14.4515724291	0.0	1	148	-0.0999455911765	0.6695	1	148	-0.0672420736122	0.684	6	148	3.03225677318	0.0145	13	148	7.9549783196	0.0	2	148	-1.3631433467	0.2675	11	148	2.06629095274	0.038	28	148	7.51459438307	0.0	19	148	2.84258580842	0.0055	3	148	1.41628416431	0.165	2	148	0.817367983325	0.313
GO:0016776	phosphotransferase activity, phosphate group as acceptor	GeneOntology	molecular_function	Gadult-VS-Sadult.down-GO_z-score_elite	0	6	-0.668325440922	1.0	0	6	-0.285292672972	1.0	0	6	-0.212384559291	1.0	0	6	-0.208961267721	1.0	0	6	-0.278825860258	1.0	0	6	-0.285292672972	1.0	1	6	1.81336574917	0.1985	0	6	-0.506344536593	1.0	4	6	6.74309286471	0.0005	0	6	-0.669552060452	1.0	0	6	-0.236531382784	1.0	0	6	-0.215755136411	1.0
GO:0044444	cytoplasmic part	GeneOntology	cellular_component	G5-VS-S5.down-GO_z-score_elite	38	265	4.83064847854	0.0	6	265	1.33398694089	0.2445	1	265	-0.708184179994	0.614	8	265	4.4867040292	0.0005	0	265	-1.88211762174	0.081	1	265	-1.38247684849	0.1685	88	265	27.4445431553	0.0	4	265	-2.15824840012	0.034	35	265	5.89380558806	0.0	12	265	-1.57414621923	0.139	7	265	2.97124888294	0.01	5	265	2.11502804459	0.049
GO:0018904	organic ether metabolic process	GeneOntology	biological_process	G5-VS-S5.down-GO_z-score_elite	6	15	5.04999843927	0.0005	0	15	-0.451327967269	1.0	0	15	-0.335988619776	1.0	2	15	5.7736476945	0.004	0	15	-0.44109758383	1.0	0	15	-0.451327967269	1.0	1	15	0.714500677788	0.442	1	15	0.502841922971	0.461	5	15	4.87725526374	0.0005	0	15	-1.05921952806	0.4215	0	15	-0.374188467847	1.0	0	15	-0.34132081322	1.0
GO:0030529	ribonucleoprotein complex	GeneOntology	cellular_component	G4-VS-S4.up-GO_z-score_elite|Gegg-VS-Segg.down-GO_z-score_elite	24	177	3.51362856753	0.001	4	177	1.07941721015	0.2245	0	177	-1.16540696986	0.4285	8	177	6.03068008177	0.0	0	177	-1.52998693506	0.174	1	177	-0.904249657665	0.4285	84	177	32.9576387867	0.0	2	177	-2.01189766845	0.049	28	177	6.36468194169	0.0	9	177	-0.985412058264	0.3745	6	177	3.46728895902	0.0065	1	177	-0.314575308239	0.7575
GO:0016192	vesicle-mediated transport	GeneOntology	biological_process	Gegg-VS-Segg.up-GO_z-score_elite	4	74	-0.517045786484	0.6435	0	74	-1.00597467654	0.6335	1	74	0.608173804877	0.436	0	74	-0.736821389476	0.6715	0	74	-0.983171953433	0.641	1	74	0.0103460681874	0.6335	2	74	-0.31075882815	0.938	1	74	-1.19632940542	0.221	6	74	1.10439374789	0.2745	1	74	-1.90175647096	0.0585	0	74	-0.834036776377	0.6295	3	74	3.24777590309	0.0145
GO:0003723	RNA binding	GeneOntology	molecular_function	G4-VS-S4.up-GO_z-score_elite	9	183	-1.08097585927	0.3255	1	183	-0.941833677512	0.4545	0	183	-1.18542506063	0.406	0	183	-1.16631794837	0.3865	0	183	-1.55626738312	0.178	0	183	-1.59236191785	0.198	17	183	4.51443450879	0.001	0	183	-2.82616356384	0.004	12	183	0.797762388103	0.5145	4	183	-2.56150511009	0.011	0	183	-1.32020062906	0.2785	0	183	-1.20423794703	0.4085
GO:0000785	chromatin	GeneOntology	cellular_component	G4-VS-S4.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite	6	70	0.544916236414	0.626	1	70	0.0665307318691	0.6115	2	70	2.06173845558	0.09	2	70	2.11850549614	0.0925	0	70	-0.956002309652	0.638	0	70	-0.978174886774	0.6125	7	70	3.1048491997	0.011	3	70	0.0805682984055	0.948	3	70	-0.365170904053	0.768	27	70	10.4479152527	0.0	1	70	0.443815649434	0.501	0	70	-0.739753509727	0.675
GO:0000041	transition metal ion transport	GeneOntology	biological_process	Gadult-VS-Sadult.down-GO_z-score_elite	1	9	0.494936025731	0.482	1	9	2.55352277916	0.127	0	9	-0.260163130431	1.0	0	9	-0.255969726475	1.0	0	9	-0.341551235608	1.0	1	9	2.55352277916	0.1205	0	9	-0.558781644656	1.0	1	9	1.06243737824	0.31	3	9	3.77656242693	0.0125	1	9	0.491360526578	0.464	3	9	10.1706901052	0.0	0	9	-0.264291961161	1.0
GO:0043933	macromolecular complex subunit organization	GeneOntology	biological_process	G5-VS-S5.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	8	44	2.9487843267	0.01	1	44	0.541339392126	0.4685	0	44	-0.576438931811	1.0	1	44	1.2179728854	0.291	0	44	-0.7567691436	0.6775	1	44	0.541339392126	0.4495	5	44	2.96177402397	0.0185	2	44	0.150932925952	0.839	10	44	5.20685994271	0.0	5	44	1.15474328786	0.3235	0	44	-0.641976507554	1.0	0	44	-0.585587110386	1.0
GO:0006836	neurotransmitter transport	GeneOntology	biological_process	G5-VS-S5.up-GO_z-score_elite	0	20	-1.2212027586	0.39	0	20	-0.521303212339	1.0	0	20	-0.388081305616	1.0	0	20	-0.381826069989	1.0	0	20	-0.509486679492	1.0	0	20	-0.521303212339	1.0	0	20	-0.833525910658	0.664	3	20	2.46333649976	0.036	0	20	-1.05448869119	0.406	1	20	-0.343064566026	0.7495	0	20	-0.432203772989	1.0	0	20	-0.394240218364	1.0
GO:0005506	iron ion binding	GeneOntology	molecular_function	G4-VS-S4.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite	25	174	3.90754341371	0.0	5	174	1.78201891526	0.1085	1	174	-0.264949027533	0.7315	1	174	-0.231957851759	0.745	9	174	4.61980438449	0.0	11	174	5.78268216165	0.0	3	174	-1.20422907646	0.2915	18	174	4.20253304403	0.0005	8	174	-0.392997807493	0.72	34	174	6.6001416575	0.0	5	174	2.71772951007	0.026	2	174	0.579646722581	0.3985
GO:0006812	cation transport	GeneOntology	biological_process	G5-VS-S5.up-GO_z-score_elite	1	31	-0.812660152714	0.398	1	31	0.91678185409	0.373	0	31	-0.483472940063	1.0	0	31	-0.475680147379	1.0	0	31	-0.634720145733	1.0	1	31	0.91678185409	0.3445	0	31	-1.03840926325	0.438	4	31	2.47873360942	0.0335	3	31	1.10523663247	0.2215	2	31	-0.10897103715	0.8925	3	31	5.10516748242	0.0045	0	31	-0.491145733394	1.0
GO:0045454	cell redox homeostasis	GeneOntology	biological_process	G5-VS-S5.down-GO_z-score_elite	7	31	3.4396489028	0.0045	0	31	-0.6494412204	1.0	0	31	-0.483472940063	1.0	2	31	3.77450058774	0.0225	0	31	-0.634720145733	1.0	0	31	-0.6494412204	1.0	1	31	-0.0384683700621	0.6935	1	31	-0.244799928997	0.721	6	31	3.52415867161	0.008	1	31	-0.816570823346	0.411	0	31	-0.53844085198	1.0	0	31	-0.491145733394	1.0
GO:0051186	cofactor metabolic process	GeneOntology	biological_process	G4-VS-S4.up-GO_z-score_elite	1	16	-0.106401738579	0.7015	0	16	-0.466157159931	1.0	0	16	-0.34702813059	1.0	0	16	-0.341434604968	1.0	0	16	-0.455590638832	1.0	0	16	-0.466157159931	1.0	4	16	4.81712962149	0.0035	0	16	-0.827347329554	0.647	0	16	-0.942939620989	0.6295	0	16	-1.09402209203	0.4205	0	16	-0.386483103421	1.0	1	16	2.51113764734	0.1095
GO:0006457	protein folding	GeneOntology	biological_process	G4-VS-S4.up-GO_z-score_elite	10	91	1.53537267771	0.136	1	91	-0.199273429283	0.7175	0	91	-0.831314744594	0.651	1	91	0.426860143494	0.496	0	91	-1.09137900411	0.4065	0	91	-1.11669137511	0.403	13	91	5.82881472192	0.0	2	91	-0.918388576211	0.455	12	91	3.40871558114	0.005	4	91	-0.962846523155	0.4275	1	91	0.176087727214	0.567	2	91	1.56780061327	0.1665
GO:0008237	metallopeptidase activity	GeneOntology	molecular_function	G4-VS-S4.down-GO_z-score_elite	10	120	0.612133859084	0.583	4	120	1.91662460125	0.0865	1	120	0.112326292196	0.5865	1	120	0.144987688626	0.5905	2	120	0.381285642944	0.7755	6	120	3.51722213302	0.0065	0	120	-2.05393471407	0.0375	9	120	1.89507422483	0.044	6	120	-0.126409652652	0.9995	9	120	0.239331288964	0.864	1	120	-0.103770778245	0.6735	1	120	0.0807065644144	0.6155
GO:0009628	response to abiotic stimulus	GeneOntology	biological_process	G3-VS-S3.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite	4	11	3.84819684781	0.0035	2	11	4.86593654758	0.007	0	11	-0.287655251076	1.0	6	11	21.0964937023	0.0	0	11	-0.377643850884	1.0	0	11	-0.386402550862	1.0	1	11	1.05882452339	0.3325	0	11	-0.685796864379	1.0	3	11	3.27432274021	0.0195	3	11	2.65256424635	0.0425	0	11	-0.320359891177	1.0	0	11	-0.292220386183	1.0
GO:0005326	neurotransmitter transporter activity	GeneOntology	molecular_function	G5-VS-S5.up-GO_z-score_elite	0	19	-1.19021060573	0.3915	0	19	-0.5080733791	1.0	0	19	-0.378232429118	1.0	0	19	-0.372135941264	1.0	0	19	-0.496556730764	1.0	0	19	-0.5080733791	1.0	0	19	-0.812372369806	0.6725	3	19	2.57464006677	0.0315	0	19	-1.02772747198	0.6175	1	19	-0.289198303109	0.731	0	19	-0.421235139559	1.0	0	19	-0.384235038611	1.0
GO:0003924	GTPase activity	GeneOntology	molecular_function	Gadult-VS-Sadult.down-GO_z-score_elite	6	100	-0.366395550223	0.841	0	100	-1.17124148499	0.4015	1	100	0.297284657056	0.532	1	100	0.330209740924	0.5435	0	100	-1.14469261064	0.42	1	100	-0.295608912848	0.7485	4	100	0.363428718876	0.764	4	100	-0.0485441855209	0.9795	12	100	3.0402336263	0.0055	10	100	1.20721602325	0.2385	0	100	-0.971056722673	0.629	0	100	-0.885761851968	0.6585
GO:0006412	translation	GeneOntology	biological_process	G3-VS-S3.down-GO_z-score_elite|G4-VS-S4.up-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite	30	289	2.35464572912	0.022	4	289	0.0699983328993	0.9845	0	289	-1.49934109001	0.186	8	289	4.1801761537	0.002	0	289	-1.96838730008	0.044	1	289	-1.49303052085	0.1785	92	289	27.3820112173	0.0	2	289	-2.97057322086	0.002	40	289	6.65485198376	0.0	11	289	-2.13750037584	0.036	6	289	2.08492536107	0.059	1	289	-0.838150414297	0.415
GO:0017171	serine hydrolase activity	GeneOntology	molecular_function	G1_2-VS-S1_2.down-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	52	167	12.4479742623	0.0	8	167	3.9228750186	0.0005	2	167	0.685504010749	0.3565	0	167	-1.11308847573	0.4045	4	167	1.29748602332	0.172	6	167	2.56223419758	0.0265	0	167	-2.42987097607	0.0175	10	167	1.24622419622	0.218	18	167	3.23022848902	0.002	13	167	0.429132706456	0.745	8	167	5.27715718614	0.0	3	167	1.5340291781	0.1365
GO:0045184	establishment of protein localization	GeneOntology	biological_process	Gegg-VS-Segg.up-GO_z-score_elite	13	183	0.0964839684852	1.0	5	183	1.66027928386	0.1215	2	183	0.551841122422	0.406	5	183	3.24694641956	0.01	1	183	-0.891050481044	0.441	0	183	-1.59236191785	0.193	12	183	2.43781528295	0.0315	5	183	-0.94080475692	0.463	14	183	1.46755931264	0.184	8	183	-1.38590336784	0.1785	3	183	1.02386303515	0.2515	4	183	2.21683046038	0.045
GO:0032991	macromolecular complex	GeneOntology	cellular_component	Gadult-VS-Sadult.down-GO_z-score_elite	57	574	2.93779961223	0.0045	8	574	0.121253335073	0.9985	2	574	-1.14595441836	0.3115	13	574	4.5215674253	0.0	1	574	-2.43900957129	0.0125	3	574	-1.76035609677	0.097	121	574	24.451558754	0.0	17	574	-1.41981366211	0.1595	71	574	7.91063302311	0.0	34	574	-1.00034190572	0.361	8	574	1.22053694057	0.244	7	574	1.27824862765	0.1875
GO:0008199	ferric iron binding	GeneOntology	molecular_function	Gegg-VS-Segg.down-GO_z-score_elite	1	7	0.767400138481	0.404	1	7	2.98312808077	0.104	0	7	-0.229415130978	1.0	0	7	-0.22571733446	1.0	0	7	-0.301184189024	1.0	1	7	2.98312808077	0.0975	0	7	-0.49274070459	1.0	1	7	1.36081859617	0.2505	2	7	2.76542272046	0.055	1	7	0.763724949279	0.3875	3	7	11.604111744	0.0	0	7	-0.233055986011	1.0
GO:0070003	threonine-type peptidase activity	GeneOntology	molecular_function	G4-VS-S4.up-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	1	22	-0.440124806005	0.544	0	22	-0.546812305965	1.0	0	22	-0.407071409888	1.0	0	22	-0.400510084854	1.0	0	22	-0.53441755101	1.0	0	22	-0.546812305965	1.0	5	22	5.05742239357	0.0	0	22	-0.970496090149	0.6315	5	22	3.67699629743	0.008	3	22	1.2352144375	0.19	0	22	-0.453352935798	1.0	1	22	2.02948633643	0.151
GO:0065008	regulation of biological quality	GeneOntology	biological_process	Gadult-VS-Sadult.down-GO_z-score_elite	8	38	3.43799290214	0.0025	1	38	0.69588250678	0.43	0	38	-0.535505318829	1.0	2	38	3.31353191358	0.0325	0	38	-0.703030068164	1.0	1	38	0.69588250678	0.422	1	38	-0.246632009543	0.7635	2	38	0.363937547621	0.791	8	38	4.37348019918	0.001	2	38	-0.40944989797	0.7045	3	38	4.5030990805	0.0045	0	38	-0.544003874381	1.0
GO:0009055	electron carrier activity	GeneOntology	molecular_function	G3-VS-S3.down-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite	28	174	4.8126963273	0.0	5	174	1.78201891526	0.1065	0	174	-1.1552789339	0.417	5	174	3.38684165269	0.0135	5	174	1.89247332648	0.0735	6	174	2.448796123	0.034	7	174	0.49856232666	0.695	10	174	1.11061062679	0.31	10	174	0.29352937979	0.8555	22	174	2.98524349402	0.003	2	174	0.315115560606	0.803	1	174	-0.296983336919	0.735
GO:0051603	proteolysis involved in cellular protein catabolic process	GeneOntology	biological_process	G4-VS-S4.up-GO_z-score_elite	2	77	-1.5024779728	0.183	0	77	-1.02634733359	0.4325	0	77	-0.764058620411	0.6755	0	77	-0.751743245683	0.687	0	77	-1.00308281748	0.6255	0	77	-1.02634733359	0.4395	8	77	3.44861725854	0.0095	2	77	-0.666360816652	0.538	8	77	2.02799388381	0.054	6	77	0.292517932747	0.8185	0	77	-0.850927405539	0.6405	1	77	0.533946599306	0.438
GO:0051649	establishment of localization in cell	GeneOntology	biological_process	Gegg-VS-Segg.up-GO_z-score_elite	8	126	-0.25636400072	0.862	2	126	0.245818787161	0.8145	2	126	1.10621965014	0.2395	4	126	3.27585155468	0.0135	0	126	-1.28691989941	0.2815	1	126	-0.535474333205	0.5505	9	126	2.38387009296	0.034	3	126	-0.978426958092	0.383	11	126	1.76084437446	0.1185	4	126	-1.67840205184	0.1205	3	126	1.72354195415	0.1235	4	126	3.11293176163	0.0135
GO:0006605	protein targeting	GeneOntology	biological_process	G3-VS-S3.down-GO_z-score_elite|G4-VS-S4.up-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	4	17	2.69928612662	0.027	2	17	3.74595062762	0.0285	0	17	-0.357729622619	1.0	4	17	11.1172304045	0.0	0	17	-0.46963993098	1.0	0	17	-0.48053229754	1.0	6	17	7.3267426972	0.0	0	17	-0.852860681564	0.6345	4	17	3.37965404015	0.0115	1	17	-0.173023257297	0.7235	2	17	4.67806039081	0.0095	1	17	2.41492895405	0.1285
GO:0003735	structural constituent of ribosome	GeneOntology	molecular_function	G3-VS-S3.down-GO_z-score_elite|G4-VS-S4.up-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	24	176	3.54415988898	0.001	4	176	1.09128298937	0.223	0	176	-1.162039951	0.4295	8	176	6.0539189378	0.0	0	176	-1.5255665952	0.1735	1	176	-0.897891067206	0.4285	84	176	33.0633189221	0.0	2	176	-2.00174226023	0.049	28	176	6.40029221083	0.0	9	176	-0.967333142114	0.378	6	176	3.48426824226	0.0065	1	176	-0.308741370817	0.7555

GeneSet-ID	GeneSet-term	GeneSet-name	GeneSet-type	elite_term_in	number_changed.G1_2-VS-S1_2.down-KEGG_z-score_elite	number_measured.G1_2-VS-S1_2.down-KEGG_z-score_elite	 z_score.G1_2-VS-S1_2.down-KEGG_z-score_elite	permuteP.G1_2-VS-S1_2.down-KEGG_z-score_elite	number_changed.G1_2-VS-S1_2.up-KEGG_z-score_elite	number_measured.G1_2-VS-S1_2.up-KEGG_z-score_elite	 z_score.G1_2-VS-S1_2.up-KEGG_z-score_elite	permuteP.G1_2-VS-S1_2.up-KEGG_z-score_elite	number_changed.G3-VS-S3.down-KEGG_z-score_elite	number_measured.G3-VS-S3.down-KEGG_z-score_elite	 z_score.G3-VS-S3.down-KEGG_z-score_elite	permuteP.G3-VS-S3.down-KEGG_z-score_elite	number_changed.G3-VS-S3.up-KEGG_z-score_elite	number_measured.G3-VS-S3.up-KEGG_z-score_elite	 z_score.G3-VS-S3.up-KEGG_z-score_elite	permuteP.G3-VS-S3.up-KEGG_z-score_elite	number_changed.G4-VS-S4.down-KEGG_z-score_elite	number_measured.G4-VS-S4.down-KEGG_z-score_elite	 z_score.G4-VS-S4.down-KEGG_z-score_elite	permuteP.G4-VS-S4.down-KEGG_z-score_elite	number_changed.G4-VS-S4.up-KEGG_z-score_elite	number_measured.G4-VS-S4.up-KEGG_z-score_elite	 z_score.G4-VS-S4.up-KEGG_z-score_elite	permuteP.G4-VS-S4.up-KEGG_z-score_elite	number_changed.G5-VS-S5.down-KEGG_z-score_elite	number_measured.G5-VS-S5.down-KEGG_z-score_elite	 z_score.G5-VS-S5.down-KEGG_z-score_elite	permuteP.G5-VS-S5.down-KEGG_z-score_elite	number_changed.G5-VS-S5.up-KEGG_z-score_elite	number_measured.G5-VS-S5.up-KEGG_z-score_elite	 z_score.G5-VS-S5.up-KEGG_z-score_elite	permuteP.G5-VS-S5.up-KEGG_z-score_elite	number_changed.Gadult-VS-Sadult.down-KEGG_z-score_elite	number_measured.Gadult-VS-Sadult.down-KEGG_z-score_elite	 z_score.Gadult-VS-Sadult.down-KEGG_z-score_elite	permuteP.Gadult-VS-Sadult.down-KEGG_z-score_elite	number_changed.Gadult-VS-Sadult.up-KEGG_z-score_elite	number_measured.Gadult-VS-Sadult.up-KEGG_z-score_elite	 z_score.Gadult-VS-Sadult.up-KEGG_z-score_elite	permuteP.Gadult-VS-Sadult.up-KEGG_z-score_elite	number_changed.Gegg-VS-Segg.down-KEGG_z-score_elite	number_measured.Gegg-VS-Segg.down-KEGG_z-score_elite	 z_score.Gegg-VS-Segg.down-KEGG_z-score_elite	permuteP.Gegg-VS-Segg.down-KEGG_z-score_elite	number_changed.Gegg-VS-Segg.up-KEGG_z-score_elite	number_measured.Gegg-VS-Segg.up-KEGG_z-score_elite	 z_score.Gegg-VS-Segg.up-KEGG_z-score_elite	permuteP.Gegg-VS-Segg.up-KEGG_z-score_elite
Valine, leucine and isoleucine degradation:map00280	Valine, leucine and isoleucine degradation:map00280	KEGG	GeneSet	G5-VS-S5.down-KEGG_z-score_elite	12	39	5.03227798625	0.0	1	39	0.592387438019	0.4355	0	39	-0.44370323592	1.0	0	39	-0.750289121738	0.762	0	39	-0.629055952132	1.0	0	39	-0.58806099772	1.0	0	39	-1.85011025609	0.2245	1	39	0.0718428166119	0.785	6	39	1.60913204018	0.0175	0	39	-1.48523795747	0.186	1	39	1.10090538575	0.3115	0	39	-0.479452842158	1.0
MAPK signaling pathway - fly:map04013	MAPK signaling pathway - fly:map04013	KEGG	GeneSet	G5-VS-S5.up-KEGG_z-score_elite|Gadult-VS-Sadult.up-KEGG_z-score_elite	0	15	-1.18293724805	0.426	0	15	-0.469846299355	1.0	0	15	-0.27380062272	1.0	0	15	-0.462988799994	1.0	0	15	-0.388178172878	1.0	2	15	5.22894219581	0.0175	0	15	-1.14166699543	0.585	3	15	4.47858031357	0.0245	1	15	-0.23290978622	0.577	4	15	3.71759940013	0.017	0	15	-0.371497740029	1.0	0	15	-0.295861008261	1.0
Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141	KEGG	GeneSet	G5-VS-S5.down-KEGG_z-score_elite|Gadult-VS-Sadult.down-KEGG_z-score_elite	23	117	4.4428134188	0.0005	4	117	1.83792129544	0.089	0	117	-0.781383785028	0.6155	3	117	1.09709501905	0.067	0	117	-1.10779927005	0.406	0	117	-1.03560508698	0.42	8	117	-0.456667340129	0.954	0	117	-1.73445807098	0.326	18	117	2.83376270979	0.009	4	117	-0.920063438999	0.517	0	117	-1.06019594605	0.428	0	117	-0.844340645323	0.6065
Retinol metabolism:map00830	Retinol metabolism:map00830	KEGG	GeneSet	G5-VS-S5.down-KEGG_z-score_elite	7	30	2.93513702807	0.0035	0	30	-0.666538812051	1.0	0	30	-0.388422218196	1.0	0	30	-0.656810546693	1.0	0	30	-0.550681826311	1.0	0	30	-0.514794436185	1.0	0	30	-1.61960488768	0.3235	0	30	-0.862190979908	0.638	2	30	-0.330413184983	0.7975	2	30	0.343331964445	0.8845	0	30	-0.527018437004	1.0	0	30	-0.41971777845	1.0
Lysine degradation:map00310	Lysine degradation:map00310	KEGG	GeneSet	G5-VS-S5.down-KEGG_z-score_elite	11	44	3.96529367155	0.0	0	44	-0.80958629911	0.6475	1	44	1.69680842947	0.262	0	44	-0.797770227478	0.7415	2	44	2.40563366632	0.101	0	44	-0.625275700167	1.0	1	44	-1.4049717929	0.312	1	44	-0.0512944673881	0.8195	3	44	-0.364613062291	0.786	2	44	-0.218153490099	0.9635	1	44	0.96481367404	0.356	1	44	1.49876247287	0.265
Amino sugar and nucleotide sugar metabolism:map00520	Amino sugar and nucleotide sugar metabolism:map00520	KEGG	GeneSet	G4-VS-S4.down-KEGG_z-score_elite|G5-VS-S5.down-KEGG_z-score_elite	10	44	3.41951202686	0.0005	1	44	0.466300680072	0.454	1	44	1.69680842947	0.2735	0	44	-0.797770227478	0.7425	2	44	2.40563366632	0.1015	4	44	5.9441793834	0.003	0	44	-1.96719216245	0.2035	3	44	1.94057229023	0.264	6	44	1.28737679865	0.247	3	44	0.462384453951	0.7435	0	44	-0.640123123009	1.0	0	44	-0.509794413743	1.0
Arginine and proline metabolism:map00330	Arginine and proline metabolism:map00330	KEGG	GeneSet	G5-VS-S5.down-KEGG_z-score_elite	9	40	3.20564924954	0.0	0	40	-0.771263215954	0.675	0	40	-0.449449850087	1.0	0	40	-0.760006477276	0.7505	0	40	-0.637203158539	1.0	0	40	-0.595677258742	1.0	0	40	-1.87407192449	0.233	0	40	-0.997655614208	0.6895	3	40	-0.189974486825	0.8975	2	40	-0.078162125216	0.9495	2	40	2.75390005745	0.049	0	40	-0.485662466683	1.0
